Bunny ID,GRID,GPS ,Date GPS On,Time GPS On,GPS Schedule,GPS Delay,Date on Bunny,Time on Bunny,Date Off Bunny,Time off Bunny,Date GPS OFF,Time GPS Off
23863,Jo,MX,15-Apr-16,13:50:33,30,12 HRS,16-Apr-16,3:15,05-May-16,2:55,06-May-16,15:42:13
23734,Jo,MI,15-Apr-16,13:33:48,30,12 HRS,16-Apr-16,1:41,27-May-16,11:05,27-May-16,already off
23715,Jo,NG,15-Apr-16,14:04:34,30,12 HRS,16-Apr-16,3:06,17-Dec-16,21:36,18-Dec-16,already off
23697,Jo,MA,15-Apr-16,14:15:40,30,12 HRS,16-Apr-16,1:27,27-Apr-16,3:34,27-Apr-16,14:36:04
23686,Jo,MH,15-Apr-16,13:47:20,30,12 HRS,16-Apr-16,3:32,27-May-16,11:07,27-May-16,already off
23641,Jo,NF,15-Apr-16,13:52:28,30,12 HRS,16-Apr-16,2:40,27-May-16,11:42,27-May-16,20:23:25
23617,Jo,ND,15-Apr-16,13:44:33,30,12 HRS,16-Apr-16,2:30,27-May-16,11:34,27-May-16,already off
23615,Jo,MM,15-Apr-16,13:42:20,30,12 HRS,16-Apr-16,1:55,27-Apr-16,2:59,28-Apr-16,15:01:18
23183,Jo,MB,15-Apr-16,14:12:49,30,12 HRS,16-Apr-16,2:14,05-May-16,2:48,06-May-16,15:09:24
22873,Jo,MQ,15-Apr-16,14:07:36,30,12 HRS,16-Apr-16,3:20,27-May-16,11:00,27-May-16,already off
22813,Jo,MC,15-Apr-16,14:10:05,30,12 HRS,16-Apr-16,2:38,05-May-16,3:03,06-May-16,16:26:56
23865,Jo,MO,25-Apr-16,19:40:58,30,12 HRS,27-Apr-16,1:23,27-May-16,11:50,28-May-16,already off
23697,Jo,MS,25-Apr-16,19:31:53,30,12 HRS,27-Apr-16,3:34,27-May-16,10:40,27-May-16,21:45:56
23682,Jo,MJ,25-Apr-16,19:36:51,30,12 HRS,27-Apr-16,3:29,27-May-16,10:59,27-May-16,15:42:10
23679,Jo,NH,26-Apr-16,11:33:57,30,12 HRS,27-Apr-16,2:00,27-May-16,10:21,27-May-16,15:14:55
23615,Jo,MZ,25-Apr-16,19:29:59,30,12 HRS,27-Apr-16,2:59,27-May-16,11:12,27-May-16,20:53:24
23307,Jo,ML,25-Apr-16,19:35:04,30,12 HRS,27-Apr-16,1:35,27-May-16,10:41,27-May-16,14:34:34
22975,Jo,NE,25-Apr-16,19:43:30,30,12 HRS,27-Apr-16,1:15,04-Sep-16,9:24,07-Sep-16,Already off
23863,Jo,MV,04-May-16,12:45:54,30,12 HRS,05-May-16,2:55,31-Oct-16,22:02,01-Nov-16,Already off
23183,Jo,MT,04-May-16,12:48:30,30,12 HRS,05-May-16,2:48,27-May-16,11:28,27-May-16,19:25:57
22813,Jo,NB,04-May-16,12:47:11,30,12 HRS,05-May-16,3:03,27-May-16,11:34,28-May-16,17:05:23
23697,Jo,MR,26-May-16,15:15:17,30,12 HRS,27-May-16,10:40,04-Sep-16,~11:00,07-Sep-16,already off
23682,Jo,MB,26-May-16,15:28:26,30,12 HRS,27-May-16,10:59,29-Jun-16,9:40,29-Jun-16,12:44:45
23679,Jo,NC,26-May-16,15:19:12,30,12 HRS,27-May-16,10:21,,,,
23307,Jo,MK,26-May-16,15:37:04,30,12 HRS,27-May-16,10:41,26-Jun-16,~10:00,26-Jun-16,21:53:00
23788,Jo,MF,26-May-16,15:26:15,30,12 HRS,30-May-16,7:30,26-Jun-16,~11:45,26-Jun-16,already off
23787,Jo,MD,26-May-16,15:23:01,30,12 HRS,30-May-16,7:00,04-Jun-16,~ 16:00,13-Jun-16,19:58:31
23686,Jo,MC,26-May-16,15:12:28,30,12 HRS,30-May-16,7:49,26-Jun-16,~10:15,26-Jun-16,already off
23679,Jo,MA,26-May-16,15:30:21,30,12 HRS,30-May-16,7:21,26-Jun-16,~11:00,26-Jun-16,21:42:43
23984,Jo,ME,03-Sep-16,19:28:12,30,12 HRS,04-Sep-16,~10:00,08-Oct-16,23:53,09-Oct-16,10:20:03
23865,Jo,MW,03-Sep-16,19:29:41,30,12 HRS,04-Sep-16,9:40,01-Oct-16,23:35,02-Oct-16,already off
23734,Jo,MD,03-Sep-16,19:31:38,30,12 HRS,04-Sep-16,~10:00,02-Oct-16,1:10,02-Oct-16,16:51:08
23713,Jo,MK,03-Sep-16,16:28:45,30,12 HRS,04-Sep-16,10:24,02-Oct-16,0:17,02-Oct-16,17:21:38
23697,Jo,MC,03-Sep-16,16:30:38,30,12 HRS,04-Sep-16,~11:00,09-Oct-16,0:10,09-Oct-16,already off
23686,Jo,NC,03-Sep-16,16:24:49,30,12 HRS,04-Sep-16,10:35,08-Oct-16,23:30,09-Oct-16,11:57:17
23682,Jo,AR,03-Sep-16,19:33:47,30,12 HRS,04-Sep-16,9:29,01-Oct-16,23:39,02-Oct-16,17:52:31
23641,Jo,AA,03-Sep-16,16:21:10,30,12 HRS,04-Sep-16,10:30,02-Oct-16,0:05,02-Oct-16,already off
23307,Jo,NI,03-Sep-16,16:27:24,30,12 HRS,04-Sep-16,10:06,01-Oct-16,23:55,02-Oct-16,18:03:08
22975,Jo,NA,03-Sep-16,16:19:40,30,12 HRS,04-Sep-16,9:24,05-Nov-16,21:50,09-Nov-16,already off
23994,Jo,AH,10-Sep-16,16:28:41,30,12 HRS,11-Sep-16,0:26,09-Oct-16,0:04,09-Oct-16,10:26:29
23974,Jo,MZ,09-Sep-16,11:12:14,30,12 HRS,11-Sep-16,1:06,06-Nov-16,~16:00,09-Nov-16,already off
23967,Jo,MG,09-Sep-16,11:18:42,30,12 HRS,11-Sep-16,2:17,09-Oct-16,0:29,09-Oct-16,9:47:56
23879,Jo,MM,09-Sep-16,11:09:22,30,12 HRS,11-Sep-16,0:35,16-Oct-16,23:35,19-Oct-16,18:05:35
23812,Jo,AG,10-Sep-16,16:30:28,30,12 HRS,11-Sep-16,0:25,16-Oct-16,22:22,19-Oct-16,16:49:24
23788,Jo,MR,09-Sep-16,11:15:45,30,12 HRS,11-Sep-16,1:22,24-Oct-16,23:37,25-Oct-16,~11:45:00
23731,Jo,MA,09-Sep-16,11:25:54,30,12 HRS,11-Sep-16,0:54,01-Oct-16,23:46,02-Oct-16,17:58:26
23679,Jo,AX,10-Sep-16,16:26:28,30,12 HRS,11-Sep-16,1:50,08-Oct-16,23:50,09-Oct-16,12:03:29
23617,Jo,AF,09-Sep-16,11:21:31,30,12 HRS,11-Sep-16,2:24,09-Oct-16,0:39,09-Oct-16,already off
22890,Jo,NE,09-Sep-16,11:36:06,30,12 HRS,11-Sep-16,0:48,24-Oct-16,22:42,25-Oct-16,already off
22873,Jo,MQ,10-Sep-16,19:18:07,30,12 HRS,11-Sep-16,1:12,16-Oct-16,23:15,19-Oct-16,16:53:03
22813,Jo,??/Mike,09-Sep-16,11:23:49,30,12 HRS,11-Sep-16,0:58,08-Oct-16,23:19,09-Oct-16,already off
23818,Jo,MH,21-Sep-16,12:14:07,30,12 HRS,22-Sep-16,0:57,24-Oct-16,22:24,25-Oct-16,13:09:03
23815,Jo,AI,21-Sep-16,12:17:23,30,12 HRS,22-Sep-16,0:10,16-Oct-16,23:32,19-Oct-16,17:54:28
23615,Jo,AZ,21-Sep-16,18:47:51,30,12 HRS,22-Sep-16,0:41,16-Oct-16,23:09,19-Oct-16,17:25:55
23865,Jo,NH,01-Oct-16,15:37:10,30,12 HRS,01-Oct-16,23:35,31-Oct-16,21:50,01-Nov-16,already off
23802,Jo,AC,01-Oct-16,15:20:49,30,12 HRS,01-Oct-16,23:52,14-Oct-16,~12:00,15-Oct-16,15:51:44
23731,Jo,AQ,01-Oct-16,15:40:20,30,12 HRS,01-Oct-16,23:46,05-Nov-16,22:06,09-Nov-16,already off
23682,Jo,BC,01-Oct-16,15:38:54,30,12 HRS,01-Oct-16,23:39,31-Oct-16,21:38,01-Nov-16,15:25:30
23307,Jo,MS,01-Oct-16,15:17:12,30,12 HRS,01-Oct-16,23:55,25-Nov-16,20:22,26-Nov-16,already off
23903,Jo,AO,01-Oct-16,15:35:14,30,12 HRS,02-Oct-16,0:30,24-Oct-16,23:42,25-Oct-16,12:58:21
23896,Jo,MF,01-Oct-16,15:18:30,30,12 HRS,02-Oct-16,1:10,31-Oct-16,21:56,01-Nov-16,15:17:47
23713,Jo,NF,01-Oct-16,15:22:03,30,12 HRS,02-Oct-16,0:17,31-Oct-16,22:24,01-Nov-16,14:59:16
23641,Jo,BD,01-Oct-16,15:15:31,30,12 HRS,02-Oct-16,0:05,31-Oct-16,23:05,01-Nov-16,12:53:01
22717,Kloo,BG,03-Oct-16,15:32:35,30,12 HRS,03-Oct-16,23:20,14-Nov-16,20:38,,Already off
22705,Kloo,MK,03-Oct-16,15:23:19,30,12 HRS,03-Oct-16,23:34,30-Oct-16,22:07,31-Oct-16,12:35:18
22130,Kloo,AA,03-Oct-16,15:19:22,30,12 HRS,03-Oct-16,23:48,30-Oct-16,22:10,31-Oct-16,already off
23717,Kloo,AP,03-Oct-16,15:25:04,30,12 HRS,04-Oct-16,0:31,30-Oct-16,23:07,31-Oct-16,12:49:42
23652,Kloo,BF,03-Oct-16,15:34:35,30,12 HRS,04-Oct-16,0:44,14-Nov-16,21:25,,Already off
23222,Kloo,AY,03-Oct-16,15:13:56,30,12 HRS,04-Oct-16,1:29,04-Feb-17,??,09-Feb-17,already off
22837,Kloo,MD,03-Oct-16,15:16:37,30,12 HRS,04-Oct-16,1:20,18-Feb-17,21:17,23-Feb-17,already off
22821,Kloo,BH,03-Oct-16,15:10:57,30,12 HRS,04-Oct-16,0:09,03-Dec-16,20:12,04-Dec-16,already off
22724,Kloo,MA,03-Oct-16,15:28:40,30,12 HRS,04-Oct-16,0:42,04-Nov-16,21:10,05-Nov-16,11:20:46
23984,Jo,AR,08-Oct-16,14:10:25,30,12 HRS,08-Oct-16,23:53,18-Jan-17,~14:00,24-Jan-17,already off
23686,Jo,AB,08-Oct-16,13:57:34,30,12 HRS,08-Oct-16,23:30,09-Apr-17,1:08,17-Apr-17,already off
23679,Jo,AM,08-Oct-16,14:04:14,30,12 HRS,08-Oct-16,23:50,25-Nov-16,19:52,26-Nov-16,already off
22813,Jo,MT,08-Oct-16,13:53:54,30,12 HRS,08-Oct-16,23:19,05-Nov-16,22:21,09-Nov-16,15:18:42
23994,Jo,AS,08-Oct-16,14:17:43,30,12 HRS,09-Oct-16,0:04,05-Nov-16,21:32,09-Nov-16,15:32:29
23967,Jo,AD,08-Oct-16,13:43:32,30,12 HRS,09-Oct-16,0:29,31-Oct-16,22:55,01-Nov-16,13:36:24
23734,Jo,AK,01-Oct-16,17:49:53,30,12 HRS,09-Oct-16,1:10,17-Dec-16,20:32,18-Dec-16,already off
23697,Jo,MP,08-Oct-16,13:40:49,30,12 HRS,09-Oct-16,0:10,05-Nov-16,21:27,09-Nov-16,already off
23617,Jo,NB,08-Oct-16,14:12:26,30,12 HRS,09-Oct-16,0:39,08-Jan-17,21:20,09-Jan-17,already off
24261,Kloo,MC,10-Oct-16,15:10:36,30,12 HRS,11-Oct-16,23:12,,,,
22847,Kloo,AX,10-Oct-16,15:11:47,30,12 HRS,12-Oct-16,0:06,02-Nov-16,11:30,05-Nov-16,11:33:01
23290,Kloo,NC,10-Oct-16,15:13:22,30,12 HRS,14-Oct-16,21:45,26-Nov-16,19:53,29-Nov-16,already off
22742,Kloo,AH,10-Oct-16,15:15:21,30,12 HRS,14-Oct-16,22:05,09-Dec-16,~09:50,09-Dec-16,already off
22109,Kloo,NI,10-Oct-16,15:08:22,30,12 HRS,14-Oct-16,21:25,16-Jan-17,0:10,24-Jan-17,already off
23879,Jo,HA,16-Oct-16,12:32:49,30,12 HRS,16-Oct-16,23:35,09-Apr-17,1:06,17-Apr-17,already off
23815,Jo,ME,16-Oct-16,12:37:28,30,12 HRS,16-Oct-16,23:32,24-Oct-16,~18:45,24-Oct-16,20:06:23
23812,Jo,HB,16-Oct-16,12:34:06,30,12 HRS,16-Oct-16,22:22,05-Apr-17,~14:00,17-Apr-17,already off
23615,Jo,AC,16-Oct-16,12:30:06,30,12 HRS,16-Oct-16,23:09,12-Nov-16,20:59,13-Nov-16,Already off
22873,Jo,HC,16-Oct-16,12:35:20,30,12 HRS,16-Oct-16,23:15,17-Dec-16,20:27,18-Dec-16,already off
23830,Kloo,MQ,20-Oct-16,17:27:33,30,12 HRS,20-Oct-16,23:00,30-Mar-17,3:19,15-Apr-17,already off
